Ref,Val,Package,PosX,PosY,Rot,Side
"R39","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.687800,-102.311200,0.000000,top
"R40","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.028400,-88.747600,-90.000000,top
"R41","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.800800,-114.274600,180.000000,top
"R42","22","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",66.217800,-60.960000,0.000000,top
"R43","22","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",66.217800,-62.484000,0.000000,top
"R44","12k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.262100,-75.711322,180.000000,top
"R45","1k5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",108.483400,-49.758600,90.000000,top
"R46","22","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",64.094435,-64.069035,-45.000000,top
"R47","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",85.162300,-70.174122,90.000000,top
"R48","22","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",63.027635,-65.135835,-45.000000,top
"R49","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",99.110800,-86.868000,180.000000,top
"R50","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.073200,-87.655400,0.000000,top
"R51","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",94.437200,-88.925400,0.000000,top
"R52","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",90.068400,-88.265000,0.000000,top
"R53","2R2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.760000,-43.357800,0.000000,top
"R54","0","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.783600,-53.111400,180.000000,top
"R55","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",125.919611,-57.462598,90.000000,top
"R57","620","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.354400,-62.992000,0.000000,top
"R58","16R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.146800,-55.499000,180.000000,top
"R59","620","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",92.379800,-64.947800,0.000000,top
"R60","16R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.659400,-66.954400,0.000000,top
"R61","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",105.283000,-59.232800,90.000000,top
"R62","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",104.902000,-62.204600,180.000000,top
"R63","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.112000,-73.507600,90.000000,top
"R64","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.302800,-46.786800,0.000000,top
"R65","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.010400,-83.439000,90.000000,top
"R66","330","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.275600,-77.190600,180.000000,top
"R67","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.207800,-69.113400,90.000000,top
